DATAOUT, 'database', 'ranks', 'pub size', 'delay', 'total size', 'count', 'min latency', 'mean latency', 'max latency', 'variance latency'
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 1, 1000000, 6, 6, 0.000459909439086914, 0.00230892499287923, 0.0086669921875, 8.97133845809448e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 1, 1000000, 6, 606, 0.000306129455566406, 0.000347396328110899, 0.00307798385620117, 1.35707167314066e-08
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 1, 100000, 60, 60, 0.000319004058837891, 0.000709942976633708, 0.00780415534973145, 9.78459218177679e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 1, 100000, 60, 60, 0.000366926193237305, 0.000451799233754476, 0.00298500061035156, 1.1078521707317e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 1, 10000, 600, 600, 0.000236988067626953, 0.000401708682378133, 0.00776195526123047, 9.70590756346548e-08
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 1, 10000, 600, 600, 0.000308036804199219, 0.000341336727142334, 0.000677824020385742, 8.04652004641564e-10
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 64, 1000000, 384, 384, 0.00110292434692383, 0.00358073351283868, 0.0108661651611328, 1.17086924542408e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 64, 1000000, 384, 384, 0.000669956207275391, 0.00157921947538853, 0.00381588935852051, 9.96960678795409e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 64, 100000, 3840, 3840, 0.0010380744934082, 0.00176658121248086, 0.00784087181091309, 7.82793061308383e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 64, 100000, 3840, 3840, 0.000638961791992187, 0.000994376341501872, 0.00379085540771484, 1.34179084076733e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 64, 10000, 38400, 38400, 0.000665903091430664, 0.00144879517455896, 0.00801706314086914, 1.50379411787414e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 64, 10000, 38400, 38400, 0.000590085983276367, 0.000853245252122482, 0.0015559196472168, 8.22045273508224e-09
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 128, 1000000, 768, 768, 0.00169086456298828, 0.00503679427007834, 0.0130538940429688, 1.37500538642345e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 128, 1000000, 768, 768, 0.000957965850830078, 0.0021011366819342, 0.00462985038757324, 1.36487172290811e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 128, 100000, 7680, 7680, 0.00162601470947266, 0.00266538035745422, 0.00816702842712402, 8.4263303054485e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 128, 100000, 7680, 7680, 0.000918865203857422, 0.00141413016244769, 0.00458598136901855, 1.70020310060993e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 128, 10000, 76800, 76800, 0.00111913681030273, 0.00197734425775707, 0.00812697410583496, 3.69684070499443e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 128, 10000, 76800, 76800, 0.000874042510986328, 0.00130265686350564, 0.0022280216217041, 2.77143542123198e-08
